"term","type","polarity"
"#magazineluiza","htag",-1
"#magnocentro","htag",-1
"#malha","htag",-1
"#manaus","htag",1
"#mariabethania","htag",-1
"#marisa","htag",-1
"#may","htag",-1
"#mecaga","htag",-1
"#megalagana","htag",1
"#megasena","htag",1
"#melhores","htag",1
"#melissa","htag",-1
"#melissahorn","htag",1
"#memolesta","htag",-1
"#metrosp","htag",-1
"#meuchapeu","htag",-1
"#meusonho","htag",-1
"#microsoft","htag",-1
"#mimimi","htag",1
"#mobile","htag",-1
"#mockery","htag",1
"#mockito","htag",1
"#monografia","htag",-1
"#montanagrill","htag",1
"#monterrey","htag",-1
"#morto","htag",-1
"#motos","htag",-1
"#movies","htag",1
"#msn","htag",-1
"#mueremalditodesgraciado","htag",-1
"#myhero","htag",1
"#nameyourpeniswithamovie","htag",1
"#naomais","htag",-1
"#nata","htag",-1
"#nervoso","htag",1
"#net","htag",-1
"#netcombo","htag",-1
"#neymarcaicai","htag",1
"#nhlnaespn","htag",-1
"#nomamar","htag",-1
"#not","htag",-1
"#oclone","htag",-1
"#oda","htag",-1
"#odeio","htag",-1
"#oi","htag",-1
"#old","htag",1
"#omg","htag",-1
"#opera","htag",1
"#orgulhoafro","htag",-1
"#orkutaovivo","htag",-1
"#oseducadosrespondem","htag",-1
"#ossimpsons","htag",-1
"#pais","htag",-1
"#palmeiras","htag",1
"#palocci","htag",-1
"#panama","htag",1
"#panico","htag",1
"#parti","htag",-1
"#partiu","htag",-1
"#patadeperro","htag",1
"#paulafernandes","htag",0
"#peliculaspizzeras","htag",1
"#photoshop","htag",-1
"#php","htag",1
"#piadasdacarol","htag",-1
"#piadassobrepiadas","htag",1
"#planetmix","htag",-1
"#plc122","htag",-1
"#plimplim","htag",-1
"#pobrefeelings","htag",-1
"#poderir","htag",-1
"#pokemon","htag",-1
"#polishop","htag",-1
"#politicagem","htag",-1
"#polvilho","htag",-1
"#popular","htag",-1
"#poweroflove","htag",-1
"#poxagoogle","htag",-1
"#pqp","htag",-1
"#prequi","htag",-1
"#profiss","htag",1
"#programadojo","htag",-1
"#promo","htag",-1
"#prova","htag",-1
"#pseudociencia","htag",-1
"#ptt","htag",-1
"#pucrs","htag",-1
"#putafaltadesacanagem","htag",-1
"#putaquepariu","htag",-1
"#qbomne","htag",-1
"#qconsp","htag",1
"#quefasehein","htag",-1
"#quepena","htag",-1
"#quitesmoking","htag",1
"#quiz","htag",1
"#ramon","htag",-1
"#receba","htag",-1
"#reclame","htag",1
"#redeglobo","htag",-1
"#referendum","htag",-1
"#referendum2011","htag",-1
"#refugiodosanjos","htag",1
"#reginaldorossi","htag",-1
"#revendatim","htag",-1
"#reynosa","htag",-1
"#riovermelho","htag",-1
"#riverplate","htag",1
"#rockrio","htag",-1
"#s","htag",-1
"#sabado","htag",1
"#sabesqueestasgordo","htag",-1
"#safari","htag",1
"#samsung","htag",-1
"#sanantoniodecabeza","htag",-1
"#santoantonio","htag",-1
"#sapevatelo","htag",-1
"#seladygagafossebrasileira","htag",-1
"#semata","htag",-1
"#seo","htag",0
"#seomoz","htag",1
"#ser","htag",-1
"#serepitelahistoria","htag",1
"#sga","htag",-1
"#sic","htag",1
"#sigam","htag",-1
"#signos","htag",-1
"#signout","htag",-1
"#site","htag",-1
"#smiles","htag",-1
"#sms","htag",-1
"#sogra","htag",-1
"#sono","htag",-1
"#sonyericsson","htag",-1
"#sorteiomanual","htag",-1
"#sosbombeiros","htag",-1
"#soumaiseu","htag",1
"#soyadicto","htag",1
"#speed","htag",-1
"#speedy","htag",-1
"#spotv","htag",-1
"#submarino","htag",-1
"#tadimdemim","htag",-1
"#taxiamigo","htag",1
"#tcc","htag",1
"#teamfollowback","htag",-1
"#teamo","htag",-1
"#tecnologia","htag",1
"#telaquente","htag",-1
"#telefoncia","htag",-1
"#telefonica","htag",-1
"#tenso","htag",-1
"#thaismaracorr","htag",-1
"#ti","htag",-1
"#tim","htag",-1
"#time","htag",-1
"#todayillbesimple","htag",-1
"#todosadora","htag",-1
"#topfive","htag",-1
"#tosempiquenenhum","htag",-1
"#totalyfail","htag",-1
"#tps","htag",-1
"#transitosp","htag",-1
"#travelmug","htag",1
"#travelw","htag",-1
"#trecho15reais","htag",-1
"#treinaweb","htag",-1
"#trollar","htag",-1
"#trote","htag",-1
"#true","htag",1
"#tvi","htag",1
"#twitcam","htag",-1
"#twittcam","htag",-1
"#twitter","htag",-1
"#uenf","htag",1
"#unesp","htag",-1
"#uni","htag",-1
"#unico","htag",-1
"#unip","htag",-1
"#v","htag",-1
"#vaisonhando","htag",1
"#valdir","htag",-1
"#valetudo","htag",-1
"#valeurge","htag",-1
"#vamp","htag",-1
"#vdm","htag",-1
"#vengodelfuturo","htag",-1
"#verdade","htag",0
"#vergonha","htag",-1
"#viage","htag",-1
"#vida","htag",-1
"#viih","htag",-1
"#virgenalos40","htag",-1
"#vivo","htag",0
"#vmb","htag",-1
"#voegoloficial","htag",-1
"#voetrip","htag",-1
"#volei","htag",-1
"#vtnc","htag",-1
"#vym","htag",-1
"#w00t","htag",1
"#win","htag",1
"#windows","htag",1
"#windowsphonemango","htag",1
"#winning","htag",1
"#wolfteam","htag",-1
"#wp7","htag",1
"#x10","htag",-1
"#xoinsetos","htag",-1
"#youtube","htag",-1
"#z","htag",-1
"#zegotinha","htag",1
"#zon","htag",0
"(:","emot",-1
"(=","emot",1
")):","emot",-1
"):","emot",-1
"*:","emot",-1
":$","emot",-1
":(","emot",-1
":'(","emot",-1
":)","emot",1
":')","emot",-1
":)))","emot",1
":*","emot",-1
":@","emot",0
":]","emot",-1
":~","emot",-1
":<","emot",-1
":D","emot",1
":p","emot",-1
":P","emot",0
":x","emot",-1
":x)","emot",1
")","emot",1
"*","emot",-1
"**","emot",-1
"@","emot",-1
"~","emot",-1
"D","emot",-1
"p","emot",-1
"P","emot",-1
"x","emot",-1
"xx","emot",-1
"=@","emot",-1
"=[","emot",-1
">:(","emot",-1
"><","emot",-1
"<U+00AC><U+00AC>","emot",-1
"<U+00AC><U+00AC>''","emot",-1
"A<U+00AC>","emot",-1
"ababadar","V",0
"ababelar","V",-1
"ababelar-se","V",1
"abacanar","V",1
"abacinar","V",1
"abafada","adj",-1
"abafadas","adj",-1
"abafado","adj",-1
"abafados","adj",-1
"abafante","adj",-1
"abafantes","adj",-1
"abafar","V",-1
"abaixada","adj",-1
"abaixadas","adj",-1
"abaixado","adj",-1
"abaixados","adj",-1
"abaixar","V",0
"abaixar-se","V",0
"abalada","adj",-1
"abaladas","adj",-1
"abalado","adj",-1
"abalados","adj",-1
"abalancado","adj",1
"abalancar","V",1
"abalar","V",0
"abalar-se","V",0
"abalizada","adj",1
"abalizadas","adj",1
"abalizado","adj",1
"abalizados","adj",1
"abalizar","V",0
"abalroado","Adj",-1
"abalroar","V",0
"abalroar-se","V",1
"abanar","V",0
"abandalhada","adj",-1
"abandalhadas","adj",-1
"abandalhado","adj",-1
"abandalhados","adj",-1
"abandalhamento","N",-1
"abandalhar","V",1
"abandar","V",-1
"abandonada","adj",-1
"abandonadas","adj",-1
"abandonado","adj",-1
"abandonados","adj",-1
"abandonar","V",-1
"abandonar-se","V",0
"abarbar","V",1
