"term","type","polarity"
"descomplexado","adj",1
"descomplexados","adj",1
"descompor","V",-1
"descomposta","adj",0
"descompostas","adj",0
"descomposto","adj",0
"descompostos","adj",0
"descomprimir","V",0
"descomprimir-se","V",1
"descomprometida","adj",0
"descomprometidas","adj",0
"descomprometido","adj",0
"descomprometidos","adj",0
"descompromissada","adj",0
"descompromissadas","adj",0
"descompromissado","adj",0
"descompromissados","adj",0
"descomunais","adj",-1
"descomunal","adj",-1
"desconceituar","V",1
"desconcentracao","N",-1
"desconcentrada","adj",-1
"desconcentradas","adj",-1
"desconcentrado","adj",-1
"desconcentrados","adj",-1
"desconcentrar","V",1
"desconcertada","adj",-1
"desconcertadas","adj",-1
"desconcertado","adj",-1
"desconcertados","adj",-1
"desconcertante","adj",-1
"desconcertantes","adj",-1
"desconcertar","V",-1
"desconchavar","V",1
"desconchegar","V",-1
"desconciliar","V",-1
"desconectar","V",1
"desconexa","adj",-1
"desconexas","adj",-1
"desconexo","adj",-1
"desconexos","adj",-1
"desconfiada","adj",-1
"desconfiadas","adj",-1
"desconfiado","adj",-1
"desconfiados","adj",-1
"desconfiar","V",1
"desconformar","V",-1
"desconfortaveis","adj",-1
"desconfortavel","adj",-1
"descongelar","V",1
"descongestionar","V",-1
"desconhecedor","adj",-1
"desconhecedora","adj",-1
"desconhecedoras","adj",-1
"desconhecedores","adj",-1
"desconhecida","adj",-1
"desconhecidas","adj",-1
"desconhecido","adj",-1
"desconhecidos","adj",-1
"desconjuntar","V",-1
"desconjuntar-se","V",1
"desconjurar","V",-1
"desconsagrar","V",1
"desconsentir","V",-1
"desconsertar","V",-1
"desconsideracao","N",-1
"desconsiderada","adj",0
"desconsideradas","adj",0
"desconsiderado","adj",0
"desconsiderados","adj",0
"desconsiderar","V",-1
"desconsolacao","N",-1
"desconsolada","adj",-1
"desconsoladas","adj",-1
"desconsolado","adj",-1
"desconsolados","adj",-1
"descontar","V",0
"descontentamento","N",-1
"descontentar","V",1
"descontente","adj",-1
"descontentes","adj",-1
"descontinua","adj",-1
"descontinuar","V",0
"descontinuas","adj",-1
"descontinuo","adj",-1
"descontinuos","adj",-1
"descontraida","adj",1
"descontraidas","adj",1
"descontraido","adj",1
"descontraidos","adj",1
"descontrolada","adj",-1
"descontroladas","adj",-1
"descontrolado","adj",-1
"descontrolados","adj",-1
"descontrolar","V",-1
"descontrolo","N",-1
"descontrucao","adj",1
"desconvencer","V",0
"desconversar","V",1
"desconvir","V",1
"descoordenacao","N",-1
"descoordenada","adj",-1
"descoordenadas","adj",-1
"descoordenado","adj",-1
"descoordenados","adj",-1
"descoracar","V",0
"descoracoar","V",0
"descorada","adj",-1
"descoradas","adj",-1
"descorado","adj",-1
"descorados","adj",-1
"descorar","V",-1
"descoroar","V",1
"descorocoada","adj",-1
"descorocoadas","adj",-1
"descorocoado","adj",-1
"descorocoados","adj",-1
"descorocoar","V",0
"descortejar","V",0
"descortes","adj",-1
"descortesa","adj",-1
"descortesas","adj",-1
"descorteses","adj",-1
"descortesia","N",-1
"descorticar","V",0
"descortinar","V",-1
"descortinar-se","V",1
"descravejar","V",1
"descravizar","V",-1
"descreditar","V",-1
"descrente","adj",0
"descrentes","adj",0
"descrer","V",-1
"descrever","V",1
"descriminar","V",-1
"descrita","adj",-1
"descritas","adj",-1
"descrito","adj",-1
"descritos","adj",-1
"descuidada","adj",-1
"descuidadas","adj",-1
"descuidado","adj",-1
"descuidados","adj",-1
"descuidar","V",1
"descuidar-se","V",0
"descuido","N",-1
"desculpada","adj",0
"desculpadas","adj",0
"desculpado","adj",0
"desculpados","adj",0
"desculpar","V",-1
"desculpar-se","V",1
"desculpaveis","adj",0
"desculpavel","adj",0
"descurar","V",1
"desdar","V",1
"desdem","N",-1
"desdemoniar","V",0
"desdenhar","V",0
"desdenhosa","adj",-1
"desdenhosas","adj",-1
"desdenhoso","adj",-1
"desdenhosos","adj",-1
"desdentada","adj",-1
"desdentadas","adj",-1
"desdentado","adj",-1
"desdentados","adj",-1
"desdita","adj",-1
"desditado","adj",-1
"desditas","adj",-1
"desdito","adj",-1
"desditos","adj",-1
"desditosa","adj",-1
"desditosas","adj",-1
"desditoso","adj",-1
"desditosos","adj",-1
"desdizer","V",1
"desdizer-se","V",1
"desdobrar","V",-1
"desdobrar-se","V",1
"desdoirar","V",1
"desdourar","V",1
"deseducado","adj",-1
"desejada","adj",0
"desejadas","adj",0
"desejado","adj",0
"desejador","adj",1
"desejados","adj",0
"desejar","V",1
"desejaveis","adj",1
"desejavel","adj",1
"desejosa","adj",-1
"desejosas","adj",-1
"desejoso","adj",-1
"desejosos","adj",-1
"deselegancia","N",-1
"deselegante","adj",-1
"deselegantes","adj",-1
"desemaranhar","V",1
"desembalar","V",1
"desembaracada","adj",1
"desembaracadas","adj",1
"desembaracado","adj",1
"desembaracados","adj",1
"desembaracar","V",-1
"desembarcar","V",-1
"desembargar","V",1
"desembestar","V",0
"desembestar-se","V",0
"desembocar","V",-1
"desembolsar","V",0
"desembotar","V",1
"desembrear","V",1
"desembrulhar","V",0
"desembrumar","V",1
"desembruscar","V",1
"desembucar","V",-1
"desembuchar","V",-1
"desemburrar","V",1
"desemburricar","V",1
"desembutir","V",1
"desempachar","V",-1
"desempacotar","V",1
"desempapar","V",1
"desemparelhada","adj",-1
"desemparelhadas","adj",-1
"desemparelhado","adj",-1
"desemparelhados","adj",-1
"desempatar","V",0
"desempecilhar","V",1
"desempedernecer","V",1
"desempedernir","V",1
"desempenada","adj",1
"desempenadas","adj",1
"desempenado","adj",1
"desempenados","adj",1
"desempenhar","V",0
"desemperrar","V",1
"desempoado","adj",1
"desempossar","V",0
"desempregada","adj",-1
"desempregadas","adj",-1
"desempregado","adj",-1
"desempregados","adj",-1
"desempregar","V",1
"desemprego","N",-1
"desemprenhar","V",1
"desencadeada","adj",0
"desencadeadas","adj",0
"desencadeado","adj",0
"desencadeados","adj",0
"desencadear","V",1
"desencadear-se","V",0
"desencaixar","V",1
"desencalhada","adj",0
"desencalhadas","adj",0
"desencalhado","adj",0
"desencalhados","adj",0
"desencalhar","V",-1
"desencalhe","N",-1
"desencalmar","V",1
"desencalmar-se","V",1
"desencaminhada","adj",-1
"desencaminhadas","adj",-1
"desencaminhado","adj",-1
"desencaminhador","adj",-1
"desencaminhadora","adj",-1
"desencaminhadoras","adj",-1
"desencaminhadores","adj",-1
"desencaminhados","adj",-1
"desencaminhamento","N",-1
"desencaminhar","V",-1
"desencaminhar-se","V",1
"desencantada","adj",0
"desencantadas","adj",0
"desencantado","adj",0
"desencantados","adj",0
"desencantar","V",0
"desencapar","V",1
"desencarapinhar","V",1
"desencarcerar","V",1
"desencarnar","V",0
"desencarregar","V",-1
"desencarrilar","V",1
"desencarrilhar","V",1
"desencasacar","V",1
"desencastoar","V",1
"desencavalgar","V",-1
"desencavar","V",0
"desencerrar","V",0
"desencher","V",-1
"desencilhar","V",1
"desenclaustrar","V",1
"desencobrir","V",-1
"desencolher","V",0
"desencontrada","adj",-1
"desencontradas","adj",-1
"desencontrado","adj",-1
"desencontrados","adj",-1
"desencontrar","V",-1
"desencorajar","V",-1
"desencorpar","V",0
"desencorticar","V",0
"desencoscorar","V",0
"desencovar","V",0
"desencrespar","V",1
"desencruar","V",1
"desendemoniar","V",0
"desenegrecer","V",0
"desenervar","V",1
"desenfadadico","adj",1
"desenfardar","V",1
"desenfastiar","V",1
"desenfeitar","V",1
"desenferrujar","V",1
"desenfileirar","V",1
"desenfuscar","V",1
"desengaiolar","V",1
"desenganada","adj",1
"desenganadas","adj",1
"desenganado","adj",1
"desenganados","adj",1
"desenganar","V",1
"desengastar","V",1
"desengatilhar","V",-1
"desengenhoso","adj",-1
"desengolir","V",0
"desengoncada","adj",-1
"desengoncadas","adj",-1
"desengoncado","adj",-1
"desengoncados","adj",-1
"desengracada","adj",-1
"desengracadas","adj",-1
"desengracado","adj",-1
"desengracados","adj",-1
"desengranzar","V",1
"desengravitar","V",0
"desengrazar","V",1
"desengrenar","V",1
"desengrenhar","V",1
"desengrossar","V",0
"desenhar","V",0
"desenlacar","V",0
"desenlamear","V",1
"desenlear","V",1
"desenlevar","V",1
"desenlicar","V",1
"desenlodar","V",1
"desenlutar","V",1
"desenobrecer","V",1
"desenodoar","V",1
"desenramar","V",1
"desenrascada","adj",1
"desenrascadas","adj",1
"desenrascado","adj",1
"desenrascados","adj",1
"desenrascar","V",1
"desenredado","adj",1
"desenredar","V",0
"desenregelhar","V",0
"desenricar","V",0
"desenrijar","V",1
"desenriquecer","V",1
"desenrolar","V",0
"desenrolar-se","V",-1
"desenroscar-se","V",0
"desenroupar","V",1
"desenrubescer","V",0
"desenrugar","V",0
"desensoberbecer","V",-1
"desensombrar","V",1
"desensopar","V",1
"desentaipar","V",-1
"desentalar","V",1
"desentarraxar","V",1
"desentenebrecer","V",0
"desenterrada","adj",1
"desenterradas","adj",1
"desenterrado","adj",1
"desenterrados","adj",1
"desenterrar","V",0
"desentesar","V",0
"desentesoirar","V",0
"desentesourar","V",0
"desentibiar","V",0
"desentoar","V",0
"desentonar","V",0
"desentortar","V",0
"desentranhar-se","V",0
"desentravar","V",-1
"desentristecer","V",0
"desentristecer-se","V",1
"desentroixar","V",1
"desentrosar","V",-1
"desentrouxar","V",1
"desentulhar","V",-1
"desentumecer","V",1
"desentupido","adj",1
"desentupir","V",-1
"desenturvar","V",1
"desenvencilhada","adj",1
"desenvencilhadas","adj",1
"desenvencilhado","adj",1
"desenvencilhados","adj",1
"desenvencilhar","V",-1
"desenvolta","adj",1
"desenvoltas","adj",1
"desenvolto","adj",1
"desenvoltos","adj",1
"desenvoltura","N",1
"desenvolver","V",-1
"desenvolver-se","V",0
"desenvolvida","adj",1
"desenvolvidas","adj",1
"desenvolvido","adj",1
"desenvolvidos","adj",1
"desenxabida","adj",-1
"desenxabidas","adj",-1
"desenxabidez","N",-1
"desenxabido","adj",-1
"desenxabidos","adj",-1
"desenxavido","adj",-1
"desenxovalhado","adj",1
"desenxovalhar","V",0
"desequilibrada","adj",-1
"desequilibradas","adj",-1
"desequilibrado","adj",-1
"desequilibrados","adj",-1
"desequilibrio","N",-1
"deserta","adj",-1
"desertar","V",-1
"desertas","adj",-1
"deserto","adj",-1
"desertor","adj",-1
"desertora","adj",-1
"desertoras","adj",-1
"desertores","adj",-1
"desertos","adj",1
"desescurecer","V",0
"desesperada","adj",-1
"desesperadas","adj",-1
"desesperado","adj",-1
"desesperados","adj",-1
"desesperanca","N",-1
"desesperancada","adj",-1
"desesperancadas","adj",-1
"desesperancado","adj",-1
"desesperancados","adj",-1
"desesperancar","V",-1
"desesperar","V",-1
"desespero","N",-1
"desestabilizador","adj",-1
"desestabilizadora","adj",-1
"desestabilizadoras","adj",-1
"desestabilizadores","adj",-1
"desestimar","V",-1
"desestimular","V",0
"desestorvar","V",-1
"desestruturar","V",-1
"desfabricar","V",-1
"desfadigar","V",1
"desfalcada","adj",0
"desfalcadas","adj",0
"desfalcado","adj",0
"desfalcados","adj",0
"desfalcar","V",-1
"desfalecer","V",0
"desfalecida","adj",-1
"desfalecidas","adj",-1
"desfalecido","adj",-1
"desfalecidos","adj",-1
"desfalque","adj",-1
"desfasado","Adj",-1
"desfavoraveis","adj",-1
"desfavoravel","adj",-1
"desfavorecer","V",-1
"desfavorecida","adj",-1
"desfavorecidas","adj",-1
"desfavorecido","adj",-1
"desfavorecidos","adj",-1
"desfazer","V",-1
"desfazer-se","V",0
"desfear","V",1
"desfechar","V",0
"desfeita","adj",-1
"desfeitas","adj",-1
"desfeitear","V",1
"desfeito","adj",-1
"desfeitos","adj",-1
"desferir","V",0
"desferrujar","V",1
"desfiar","V",0
"desfibrar","V",0
"desfigurada","adj",-1
"desfiguradas","adj",-1
"desfigurado","adj",-1
"desfigurados","adj",-1
"desfigurar","V",0
"desfigurar-se","V",0
"desfilar","V",1
"desflorescer","V",1
"desflorir","V",1
"desflorir-se","V",0
"desfolegar","V",0
"desfolhada","adj",0
"desfolhadas","adj",0
"desfolhado","adj",0
"desfolhados","adj",0
"desfolhar","V",0
"desforcar","V",1
"desformar","V",0
"desforrar-se","V",1
"desfortalecer","V",0
"desfortunado","adj",-1
"desfortunoso","adj",-1
"desfraldar","V",-1
"desfranzir","V",0
"desfrear","V",1
"desfrechar","V",-1
"desfruir","V",1
"desfrutada","adj",1
"desfrutadas","adj",1
"desfrutado","adj",1
"desfrutados","adj",1
"desfrutar","V",1
"desgabar","V",1
"desgadelhar","V",1
"desgalhar","V",1
"desgarrada","adj",-1
"desgarradas","adj",-1
"desgarrado","adj",-1
"desgarrados","adj",-1
"desgarrar","V",-1
"desgastada","adj",-1
"desgastadas","adj",-1
"desgastado","adj",-1
"desgastados","adj",-1
"desgastante","adj",0
"desgastantes","adj",0
"desgastar","V",0
"desgaste","N",-1
"desgelar","V",1
"desgostar","V",-1
"desgosto","adj",-1
"desgostosa","adj",-1
"desgostosas","adj",-1
"desgostoso","adj",-1
"desgostosos","adj",-1
"desgovernacao","N",-1
"desgovernada","adj",-1
"desgovernadas","adj",-1
"desgovernado","adj",-1
"desgovernados","adj",-1
"desgovernar","V",-1
"desgoverno","N",-1
"desgraca","adj",-1
"desgracada","adj",1
"desgracadas","adj",-1
"desgracado","adj",-1
"desgracados","adj",-1
"desgracar","V",0
"desgraciado","adj",-1
"desgraciosa","adj",-1
"desgraciosas","adj",-1
"desgracioso","adj",-1
"desgraciosos","adj",-1
"desgregar","V",-1
"desgregar-se","V",1
"desgrenhada","adj",-1
"desgrenhadas","adj",-1
"desgrenhado","adj",-1
"desgrenhados","adj",-1
"desgrilhoar","V",1
"desgrudar","V",0
"desgrudar-se","V",0
"desguardar-se","V",1
"desguarnecer","V",-1
"desguedelhar","V",1
"desguiar-se","V",-1
"desidratacao","N",-1
"designada","adj",-1
"designadas","adj",-1
"designado","adj",-1
"designador","adj",1
"designadora","adj",1
"designadoras","adj",1
"designadores","adj",1
"designados","adj",-1
"designar","V",0
"designativa","adj",1
"designativas","adj",1
"designativo","adj",1
"designativos","adj",1
"desiguais","adj",-1
"desigual","adj",-1
"desiludida","adj",-1
"desiludidas","adj",-1
"desiludido","adj",-1
"desiludidos","adj",-1
"desiludir","V",1
"desiluminado","adj",-1
"desimaginar","V",1
"desimpedida","adj",0
"desimpedidas","adj",0
"desimpedido","adj",0
"desimpedidos","adj",0
"desimpedir","V",-1
"desimplicar","V",1
"desinchar","V",1
"desincorporar","V",1
"desincumbir","V",1
"desinfeliz","adj",-1
"desinfelizes","adj",-1
"desinflar","V",1
"desinformacao","N",-1
"desinformada","adj",-1
"desinformadas","adj",-1
"desinformado","adj",-1
"desinformados","adj",-1
"desinibida","adj",1
"desinibidas","adj",1
"desinibido","adj",1
"desinibidos","adj",1
"desinibir","V",1
"desinjuriar","V",1
"desinquietar","V",0
"desinquietar-se","V",1
"desinstruida","adj",-1
"desinstruidas","adj",-1
"desinstruido","adj",-1
"desinstruidos","adj",-1
"desinteressada","adj",-1
"desinteressadas","adj",-1
"desinteressado","adj",1
"desinteressados","adj",-1
"desinteressante","adj",-1
"desinteressantes","adj",-1
"desinteresse","N",-1
"desintricado","adj",1
"desintrincado","adj",1
"desintumescer","V",1
"desistir","V",-1
"desjeitoso","adj",-1
"desjungir","V",0
"desjuntar","V",1
"deslacar","V",0
"deslambida","adj",-1
"deslambidas","adj",-1
"deslambido","adj",-1
"deslambidos","adj",-1
"deslassar","V",0
"deslavada","adj",-1
"deslavadas","adj",-1
"deslavado","adj",-1
"deslavados","adj",-1
"deslavar","V",-1
"desleais","adj",-1
"desleal","adj",-1
"deslealdade","N",-1
"deslealdoso","adj",-1
"deslegitimar","V",1
"desleixada","adj",-1
"desleixadas","adj",-1
"desleixado","adj",-1
"desleixados","adj",-1
"desleixar","V",1
"desleixar-se","V",-1
"desleixo","N",-1
"desliar","V",1
"desligada","adj",-1
"desligadas","adj",-1
"desligado","adj",-1
"desligados","adj",-1
"desligar","V",1
"desligar-se","V",0
"deslindar","V",0
"deslindar-se","V",1
"deslisar","V",1
"deslizar","V",-1
"deslocada","adj",-1
"deslocadas","adj",-1
"deslocado","adj",-1
"deslocados","adj",-1
"deslocar","V",0
"deslocar-se","V",0
"deslodar","V",1
"deslombar","V",-1
"deslumbrada","adj",-1
"deslumbradas","adj",-1
"deslumbrado","adj",-1
"deslumbrados","adj",-1
"deslumbrante","adj",1
"deslumbrantes","adj",1
"deslumbrar","V",0
"deslumbroso","adj",1
"deslustrar","V",-1
"desluzir","V",-1
"desmaecer","V",-1
"desmaiada","adj",-1
"desmaiadas","adj",-1
"desmaiado","adj",-1
"desmaiados","adj",-1
"desmaiar","V",0
"desmanchada","adj",-1
"desmanchadas","adj",-1
"desmanchado","adj",-1
"desmanchados","adj",-1
"desmanchar","V",-1
"desmanchar-se","V",0
"desmantelada","adj",-1
"desmanteladas","adj",-1
"desmantelado","adj",-1
"desmantelados","adj",-1
"desmantelar","V",-1
"desmantelar-se","V",1
"desmarcada","adj",-1
"desmarcadas","adj",-1
"desmarcado","adj",-1
"desmarcados","adj",-1
"desmascarar","V",1
"desmazelada","adj",-1
"desmazeladas","adj",-1
"desmazelado","adj",-1
"desmazelados","adj",-1
"desmazelamento","N",-1
"desmazelo","N",-1
"desmedida","adj",-1
"desmedidas","adj",-1
"desmedido","adj",-1
"desmedidos","adj",-1
"desmedrar","V",0
"desmedroso","adj",1
"desmelhorar","V",-1
"desmelindrar","V",0
"desmembrada","adj",0
"desmembradas","adj",0
"desmembrado","adj",0
"desmembrados","adj",0
"desmembrar","V",1
"desmembrar-se","V",1
"desmemoriada","adj",-1
"desmemoriadas","adj",-1
"desmemoriado","adj",-1
"desmemoriados","adj",-1
"desmentar","V",1
"desmentida","adj",-1
"desmentidas","adj",-1
"desmentido","adj",-1
"desmentidos","adj",-1
"desmentir","V",-1
"desmerecer","V",-1
"desmesurada","adj",-1
"desmesuradas","adj",-1
"desmesurado","adj",-1
"desmesurados","adj",-1
"desmiolada","adj",-1
"desmioladas","adj",-1
"desmiolado","adj",-1
"desmiolados","adj",-1
"desmiucar","V",0
"desmiudar","V",1
"desmobilhar","V",1
"desmochar","V",1
"desmodorrar","V",0
"desmoitar","V",1
"desmonetizar","V",1
"desmontada","adj",-1
"desmontadas","adj",-1
"desmontado","adj",-1
"desmontados","adj",-1
"desmontar","V",-1
"desmoralizacao","N",-1
"desmoralizada","adj",-1
"desmoralizadas","adj",-1
"desmoralizado","adj",-1
"desmoralizador","adj",-1
"desmoralizadora","adj",-1
"desmoralizadoras","adj",-1
"desmoralizadores","adj",-1
"desmoralizados","adj",-1
"desmoralizar","V",-1
"desmoronar","V",-1
"desmoronar-se","V",-1
"desmortificar","V",1
"desmotivacao","N",-1
"desmotivada","adj",-1
"desmotivadas","adj",-1
"desmotivado","adj",-1
"desmotivador","adj",-1
"desmotivadora","adj",-1
"desmotivadoras","adj",-1
"desmotivadores","adj",-1
"desmotivados","adj",-1
"desmoutar","V",1
"desnaturada","adj",-1
"desnaturadas","adj",-1
"desnaturado","adj",-1
"desnaturados","adj",-1
"desnaturalizada","adj",0
"desnaturalizadas","adj",0
"desnaturalizado","adj",0
"desnaturalizados","adj",0
"desnaturar","V",0
"desnecessaria","adj",-1
"desnecessarias","adj",-1
"desnecessario","adj",-1
"desnecessarios","adj",-1
"desnervar","V",-1
"desnevoar","V",1
"desnivelar","V",0
"desnobre","adj",-1
"desnobrecer","V",1
"desnocar","V",1
"desnodar","V",1
"desnodoar","V",1
"desnorteada","adj",-1
"desnorteadas","adj",-1
"desnorteado","adj",-1
"desnorteados","adj",-1
"desnorteamento","N",-1
"desnortear","V",1
"desnovelar-se","V",1
"desnuar","V",1
"desnublado","adj",1
"desnublar","V",1
"desnuda","adj",0
"desnudada","adj",0
"desnudadas","adj",0
"desnudado","adj",0
"desnudados","adj",0
"desnudar","V",1
"desnudas","adj",0
"desnudo","adj",0
"desnudos","adj",0
"desnutricao","N",-1
"desnutrir","V",0
"desnuviar-se","V",1
"desobedecer","V",1
"desobediencia","N",-1
"desobediente","adj",-1
"desobedientes","adj",-1
"desobrigada","adj",0
"desobrigadas","adj",0
"desobrigado","adj",0
"desobrigados","adj",0
"desobrigar","V",-1
"desobscurecer","V",1
"desobstruido","adj",1
"desobstruir","V",-1
"desobumbrar","V",1
"desocupada","adj",-1
"desocupadas","adj",-1
"desocupado","adj",-1
"desocupados","adj",-1
"desocupar","V",1
"desofuscar","V",1
"desolacao","N",-1
"desolada","adj",-1
"desoladas","adj",-1
"desolado","adj",-1
"desolador","adj",-1
"desoladora","adj",-1
"desoladoras","adj",-1
"desoladores","adj",-1
"desolados","adj",-1
"desolar","V",0
"desolhada","adj",-1
"desolhadas","adj",-1
"desolhado","adj",-1
"desolhados","adj",-1
"desonerar","V",-1
"desonesta","adj",-1
"desonestar","V",-1
"desonestas","adj",-1
"desonestidade","N",-1
"desonesto","adj",-1
"desonestos","adj",-1
"desonra","N",-1
"desonrada","adj",-1
"desonradas","adj",-1
"desonrado","adj",-1
"desonrados","adj",-1
"desonrar","V",-1
"desonrosa","adj",-1
"desonrosas","adj",-1
"desonroso","adj",-1
"desonrosos","adj",-1
"desoportuno","adj",-1
"desopressar","V",-1
"desoprimida","adj",0
"desoprimidas","adj",0
"desoprimido","adj",0
"desoprimidos","adj",0
"desoprimir","V",-1
"desorado","adj",-1
"desordeira","adj",-1
"desordeiras","adj",-1
"desordeiro","adj",-1
"desordeiros","adj",-1
"desordem","N",-1
"desordenada","adj",-1
"desordenadas","adj",-1
"desordenado","adj",-1
"desordenados","adj",-1
"desordenar","V",-1
"desordenar-se","V",1
"desorganizacao","N",-1
"desorganizada","adj",-1
"desorganizadas","adj",-1
"desorganizado","adj",-1
"desorganizados","adj",-1
"desorganizar","V",-1
"desorientacao","N",-1
"desorientada","adj",-1
"desorientadas","adj",-1
"desorientado","adj",-1
"desorientados","adj",-1
"desorientar","V",1
"desornar","V",1
"despachada","adj",1
"despachadas","adj",1
"despachado","adj",1
"despachados","adj",1
"despachar","V",-1
"despalhar","V",1
"desparafusar","V",1
"desparecer","V",0
"desparelhar","V",-1
"despargir","V",0
"despargir-se","V",1
"desparramar","V",1
"despartir","V",0
"desparzir","V",0
"despassar","V",-1
"despassarada","adj",-1
"despassaradas","adj",-1
"despassarado","adj",-1
"despassarados","adj",-1
"despavorir","V",1
"despecar","V",-1
"despedacada","adj",0
"despedacadas","adj",0
"despedacado","adj",0
"despedacados","adj",0
"despedacar","V",0
"despedida","adj",0
"despedidas","adj",0
"despedido","adj",0
"despedidos","adj",0
"despedir","V",-1
"despegada","adj",0
"despegadas","adj",0
"despegado","adj",0
"despegados","adj",0
"despegar","V",-1
"despegar-se","V",0
"despeitada","adj",-1
"despeitadas","adj",-1
"despeitado","adj",-1
"despeitados","adj",-1
"despeitar","V",-1
"despeito","N",-1
"despeitorada","adj",-1
"despeitoradas","adj",-1
"despeitorado","adj",-1
"despeitorados","adj",-1
"despeitorar","V",-1
"despejada","adj",-1
"despejadas","adj",-1
"despejado","adj",-1
"despejados","adj",-1
"despejar","V",-1
"despelar","V",0
"despenar","V",1
"despencar","V",0
"despender","V",-1
"despenhar","V",-1
"despenhar-se","V",0
"despenteada","adj",-1
"despenteadas","adj",-1
"despenteado","adj",-1
"despenteados","adj",-1
"despercebida","adj",-1
"despercebidas","adj",-1
"despercebido","adj",-1
"despercebidos","adj",-1
"despercebivel","adj",-1
"desperdicada","adj",-1
"desperdicadas","adj",-1
"desperdicado","adj",1
"desperdicador","adj",-1
"desperdicadora","adj",-1
"desperdicadoras","adj",-1
"desperdicadores","adj",-1
"desperdicados","adj",-1
"desperdicante","adj",1
"desperdicar","V",-1
"desperecer","V",1
"desperecer-se","V",1
"despersuadir","V",0
"desperta","adj",1
"despertar","V",0
"despertas","adj",1
"desperto","adj",1
"despertos","adj",1
"despesista","adj",-1
"despesistas","adj",-1
"despicar","V",1
"despida","adj",0
"despidas","adj",0
"despido","adj",0
"despidos","adj",0
"despiolhar","V",0
"despir","V",0
"despirocada","adj",-1
"despirocadas","adj",-1
"despirocado","adj",-1
"despirocados","adj",-1
"despir-se","V",0
"despistada","adj",-1
"despistadas","adj",-1
"despistado","adj",-1
"despistados","adj",-1
"despistar","V",0
"desplante","N",-1
"despojada","adj",0
"despojadas","adj",0
"despojado","adj",0
"despojados","adj",0
"despojar","V",0
"despojar-se","V",0
"despolir","V",-1
"desponderado","adj",-1
"despontar","V",0
"desposar","V",1
"despossar","V",0
"despossuir","V",0
"despotica","adj",-1
"despoticas","adj",-1
"despotico","adj",-1
"despoticos","adj",-1
"despovoar","V",0
"desprazer","V",1
"desprecatar-se","V",1
"despreender-se","V",0
"despregada","adj",-1
"despregadas","adj",-1
"despregado","adj",-1
"despregados","adj",-1
"despregar","V",-1
"despreguicar","V",1
"desprender","V",-1
"desprender-se","V",1
"desprendida","adj",0
"desprendidas","adj",0
"desprendido","adj",0
"desprendidos","adj",0
"desprenhar","V",1
"despreocupacao","N",-1
"despreocupada","adj",0
"despreocupadas","adj",0
"despreocupado","adj",0
"despreocupados","adj",0
"despreparada","adj",-1
"despreparadas","adj",-1
"despreparado","adj",-1
"despreparados","adj",-1
"despretensiosa","adj",1
"despretensiosas","adj",1
"despretensioso","adj",1
"despretensiosos","adj",1
"desprevencao","N",-1
"desprevenida","adj",-1
"desprevenidas","adj",-1
"desprevenido","adj",-1
"desprevenidos","adj",-1
"desprevenir-se","V",1
"desprezada","adj",-1
"desprezadas","adj",-1
"desprezado","adj",-1
"desprezados","adj",-1
"desprezar","V",-1
"desprezaveis","adj",-1
"desprezavel","adj",-1
"despreziveis","adj",-1
"desprezivel","adj",-1
"desprezo","N",-1
"desprimorosa","adj",-1
"desprimorosas","adj",-1
"desprimoroso","adj",-1
"desprimorosos","adj",-1
"desproporcionada","adj",-1
"desproporcionadas","adj",-1
"desproporcionado","adj",-1
"desproporcionados","adj",-1
"despropositada","adj",-1
"despropositadas","adj",-1
"despropositado","adj",-1
"despropositados","adj",-1
"despropositar","V",1
"desproposito","N",-1
"desproteger","V",1
"desprotegida","adj",-1
"desprotegidas","adj",-1
"desprotegido","adj",-1
"desprotegidos","adj",-1
"desprover","V",1
"desprovida","adj",0
"desprovidas","adj",0
"desprovido","adj",0
"desprovidos","adj",0
"despudor","N",-1
"despudorada","adj",-1
"despudoradas","adj",-1
"despudorado","adj",-1
"despudorados","adj",-1
"desquadrilhar","V",-1
"desqualificada","adj",-1
"desqualificadas","adj",-1
"desqualificado","adj",-1
"desqualificados","adj",-1
"desquerer","V",1
"desquietar","V",-1
"desquitada","adj",0
"desquitadas","adj",0
"desquitado","adj",0
"desquitados","adj",0
"desquitar","V",-1
"desraigar","V",0
"desraizar","V",0
"desregrada","adj",-1
"desregradas","adj",-1
"desregrado","adj",-1
"desregrados","adj",-1
"desregulada","adj",-1
"desreguladas","adj",-1
"desregulado","adj",-1
"desregulados","adj",-1
"desremediada","adj",-1
"desremediadas","adj",-1
"desremediado","adj",-1
"desremediados","adj",-1
"desremediar","V",1
"desrespeitada","adj",-1
"desrespeitadas","adj",-1
"desrespeitado","adj",-1
"desrespeitador","adj",-1
"desrespeitadora","adj",-1
"desrespeitadoras","adj",-1
"desrespeitadores","adj",-1
"desrespeitados","adj",-1
"desrespeitar","V",1
"desrespeito","N",-1
"desrespeitosa","adj",-1
"desrespeitosas","adj",-1
"desrespeitoso","adj",-1
"desrespeitosos","adj",-1
"desrevestir-se","V",0
"desricar","V",0
"desrugar","V",0
"desruidoso","adj",-1
"dessaborido","adj",-1
"dessaboroso","adj",-1
"dessagrar","V",1
"dessangrar","V",0
"dessatisfeito","adj",-1
"dessaudar","V",0
"dessazonar","V",1
"dessecado","adj",-1
